epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,397.758,0.43958,0.86901,0.45886,0.92146,0,0.94108,0.80664,0.8818,0.80145,0.91575,0.77773,0.84308,0.72778,0.40441,0.98044,0.44584,0.86292,0,0.00038375,0.00038375,0.00038375
72,403.156,0.43957,0.89934,0.45912,0.92148,0,0.91272,0.87714,0.89829,0.81824,0.86949,0.83237,0.85038,0.73307,0.41469,0.96433,0.46907,0.86674,0,0.000371375,0.000371375,0.000371375
73,408.594,0.43977,0.84131,0.44463,0.92271,0,0.93674,0.81198,0.90015,0.80466,0.92069,0.79055,0.85601,0.73057,0.40212,1.03034,0.48868,0.8577,0,0.000359,0.000359,0.000359
74,413.87,0.43443,0.88543,0.44682,0.91628,0,0.91631,0.83958,0.89962,0.81319,0.90457,0.80489,0.85766,0.73304,0.39498,0.98069,0.4627,0.8535,0,0.000346625,0.000346625,0.000346625
75,419.193,0.41935,0.79302,0.4433,0.9104,0,0.92363,0.84516,0.89787,0.8179,0.91003,0.8246,0.87071,0.74061,0.38018,0.9455,0.44046,0.84823,0,0.00033425,0.00033425,0.00033425
76,424.521,0.43647,0.84059,0.43753,0.92792,0,0.94304,0.84492,0.88543,0.80875,0.89582,0.81444,0.8428,0.7265,0.37392,1.06694,0.45309,0.84587,0,0.000321875,0.000321875,0.000321875
77,429.814,0.40587,0.78832,0.41988,0.90487,0,0.9176,0.84959,0.89293,0.8078,0.8932,0.826,0.85778,0.72829,0.38358,1.03396,0.46319,0.85349,0,0.0003095,0.0003095,0.0003095
78,435.194,0.43494,0.88162,0.43707,0.91084,0,0.93938,0.80893,0.89378,0.8141,0.93564,0.78746,0.85808,0.73854,0.38267,0.94016,0.45795,0.85317,0,0.000297125,0.000297125,0.000297125
79,440.662,0.42324,0.85046,0.4331,0.91362,0,0.92777,0.82557,0.88032,0.79575,0.93958,0.76725,0.83544,0.72381,0.38701,0.97513,0.45852,0.86283,0,0.00028475,0.00028475,0.00028475
80,446.07,0.43224,0.85424,0.432,0.92094,0,0.88865,0.86587,0.90011,0.80851,0.90704,0.80171,0.863,0.74016,0.39112,0.94192,0.45442,0.8622,0,0.000272375,0.000272375,0.000272375
81,451.416,0.4257,0.84649,0.43512,0.91411,0,0.92705,0.83425,0.88586,0.80832,0.92107,0.78537,0.84849,0.73583,0.38814,0.99161,0.45113,0.85799,0,0.00026,0.00026,0.00026
82,456.788,0.40808,0.81195,0.4195,0.90937,0,0.90741,0.8664,0.89662,0.81513,0.882,0.81988,0.84851,0.73691,0.39563,0.9666,0.44885,0.87028,0,0.000247625,0.000247625,0.000247625
83,462.189,0.40928,0.80236,0.41865,0.90496,0,0.9524,0.81945,0.9008,0.82057,0.91289,0.79677,0.85391,0.75497,0.3951,0.91058,0.43457,0.85677,0,0.00023525,0.00023525,0.00023525
84,467.583,0.43441,0.84155,0.42445,0.9124,0,0.94237,0.82317,0.89146,0.81169,0.91644,0.79816,0.84719,0.74294,0.39194,0.97173,0.44543,0.85839,0,0.000222875,0.000222875,0.000222875
85,472.93,0.41745,0.79927,0.42677,0.91386,0,0.88321,0.85501,0.90268,0.82034,0.89303,0.79382,0.85137,0.74312,0.36524,0.98363,0.45187,0.84506,0,0.0002105,0.0002105,0.0002105
86,478.27,0.40701,0.85772,0.41783,0.90612,0,0.91381,0.82957,0.89179,0.81589,0.90387,0.78692,0.85168,0.74221,0.36815,1.00579,0.44095,0.84576,0,0.000198125,0.000198125,0.000198125
87,483.686,0.39875,0.7908,0.4056,0.90237,0,0.90452,0.86776,0.90558,0.82165,0.88349,0.84337,0.87323,0.74693,0.36098,0.96744,0.42477,0.8367,0,0.00018575,0.00018575,0.00018575
88,489.081,0.4168,0.83149,0.41554,0.9066,0,0.89916,0.86565,0.90053,0.82184,0.89425,0.83336,0.86456,0.74796,0.35279,0.92776,0.41924,0.83516,0,0.000173375,0.000173375,0.000173375
89,494.367,0.39496,0.76799,0.40352,0.90403,0,0.88383,0.86347,0.89939,0.82351,0.89861,0.82585,0.86942,0.75124,0.3584,0.93147,0.41357,0.83833,0,0.000161,0.000161,0.000161
90,499.808,0.4015,0.75831,0.39048,0.90195,0,0.92437,0.83885,0.90203,0.82479,0.90894,0.80392,0.87133,0.75618,0.36809,0.89872,0.40394,0.84049,0,0.000148625,0.000148625,0.000148625
91,505.707,0.37157,0.6971,0.40045,0.88686,0,0.89133,0.86867,0.9051,0.821,0.9083,0.80346,0.8712,0.75886,0.36783,0.89558,0.40326,0.842,0,0.00013625,0.00013625,0.00013625
92,510.632,0.36381,0.66755,0.38841,0.87951,0,0.93828,0.81283,0.90769,0.82867,0.91998,0.79923,0.86914,0.75664,0.38138,0.90615,0.41839,0.84728,0,0.000123875,0.000123875,0.000123875
93,515.756,0.35525,0.68856,0.37283,0.87262,0,0.91712,0.82847,0.89145,0.81404,0.93109,0.7988,0.86556,0.74275,0.37845,0.95562,0.42096,0.84754,0,0.0001115,0.0001115,0.0001115
94,520.665,0.35421,0.6557,0.35864,0.87313,0,0.88663,0.84174,0.89418,0.81985,0.88796,0.80452,0.86635,0.75165,0.38096,0.93449,0.41881,0.85716,0,9.9125e-05,9.9125e-05,9.9125e-05
95,525.583,0.34502,0.61387,0.34568,0.87487,0,0.90309,0.82871,0.90266,0.82403,0.87939,0.80437,0.86341,0.75674,0.37275,0.91132,0.41434,0.84909,0,8.675e-05,8.675e-05,8.675e-05
96,530.506,0.34828,0.64517,0.35022,0.87464,0,0.91386,0.85001,0.90234,0.82662,0.88327,0.82014,0.85825,0.75845,0.36497,0.92733,0.41538,0.84016,0,7.4375e-05,7.4375e-05,7.4375e-05
97,535.426,0.35672,0.64023,0.35815,0.87853,0,0.90565,0.83898,0.89315,0.8172,0.8933,0.78804,0.84393,0.74491,0.36082,0.96488,0.42433,0.83403,0,6.2e-05,6.2e-05,6.2e-05
98,540.339,0.33971,0.64108,0.34063,0.87099,0,0.92712,0.83398,0.89797,0.81992,0.90262,0.79075,0.8473,0.74301,0.35758,0.96831,0.4192,0.83395,0,4.9625e-05,4.9625e-05,4.9625e-05
99,545.374,0.3428,0.6357,0.34392,0.86555,0,0.92551,0.83206,0.89519,0.81944,0.90704,0.79345,0.85147,0.75005,0.35673,0.93378,0.41547,0.83259,0,3.725e-05,3.725e-05,3.725e-05
100,550.286,0.3518,0.65042,0.3512,0.87853,0,0.92885,0.83266,0.89349,0.8209,0.90009,0.79418,0.85026,0.75324,0.35387,0.92256,0.4185,0.82943,0,2.4875e-05,2.4875e-05,2.4875e-05
